2025-02-18 16:00:18,364 - detector_fadiga - INFO - Sistema de logging inicializado
2025-02-18 16:00:18,527 - detector_fadiga - ERROR - Erro ao inicializar alertas sonoros: No file 'sounds/alert.mp3' found in working directory 'C:\Users\Lucas Neves\Documents\DOCUMENTOSDIVERSOS\DocumentosFaculdade\TCC\Driver-Drowsiness'.
2025-02-18 16:00:18,527 - detector_fadiga - INFO - MediaPipe inicializado
2025-02-18 16:00:18,528 - detector_fadiga - INFO - Novo modelo de detecção de anomalias criado
2025-02-18 16:00:18,529 - detector_fadiga - INFO - Threads secundárias iniciadas
2025-02-18 16:00:20,839 - detector_fadiga - INFO - Iniciando detector de fadiga avançado...
2025-02-18 16:00:22,360 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.79, Duração: 0.93s
2025-02-18 16:00:23,320 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.79, Duração: 0.93s
2025-02-18 16:00:24,265 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.74, Duração: 0.91s
2025-02-18 16:00:24,440 - detector_fadiga - WARNING - ALERTA: Fadiga detectada - Nível de fadiga: 50.9
2025-02-18 16:00:25,208 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.76, Duração: 0.91s
2025-02-18 16:00:26,185 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.86, Duração: 0.94s
2025-02-18 16:00:27,146 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.84, Duração: 0.93s
2025-02-18 16:00:28,087 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.86, Duração: 0.91s
2025-02-18 16:00:29,065 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.85, Duração: 0.94s
2025-02-18 16:00:30,041 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.83, Duração: 0.94s
2025-02-18 16:00:31,001 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.79, Duração: 0.93s
2025-02-18 16:00:31,944 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.74, Duração: 0.91s
2025-02-18 16:00:32,888 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.74, Duração: 0.91s
2025-02-18 16:00:33,865 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.87, Duração: 0.95s
2025-02-18 16:00:34,825 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.47, Duração: 0.93s
2025-02-18 16:00:35,766 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.98, Duração: 0.91s
2025-02-18 16:00:36,712 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.80, Duração: 0.91s
2025-02-18 16:00:37,689 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.85, Duração: 0.95s
2025-02-18 16:00:38,648 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.88, Duração: 0.93s
2025-02-18 16:00:39,593 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.86, Duração: 0.91s
2025-02-18 16:00:40,537 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.86, Duração: 0.91s
2025-02-18 16:00:41,481 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.87, Duração: 0.91s
2025-02-18 16:00:42,410 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.86, Duração: 0.91s
2025-02-18 16:00:43,352 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.83, Duração: 0.91s
2025-02-18 16:00:44,327 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.69, Duração: 0.94s
2025-02-18 16:00:45,288 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.76, Duração: 0.93s
2025-02-18 16:00:46,264 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.72, Duração: 0.94s
2025-02-18 16:00:47,208 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.58, Duração: 0.91s
2025-02-18 16:00:48,154 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.57, Duração: 0.91s
2025-02-18 16:00:49,111 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.54, Duração: 0.93s
2025-02-18 16:00:50,057 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.56, Duração: 0.91s
2025-02-18 16:00:51,033 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.57, Duração: 0.94s
2025-02-18 16:00:51,977 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.36, Duração: 0.91s
2025-02-18 16:00:52,935 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.56, Duração: 0.93s
2025-02-18 16:00:53,881 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.47, Duração: 0.91s
2025-02-18 16:00:54,824 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.48, Duração: 0.91s
2025-02-18 16:00:55,784 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.51, Duração: 0.93s
2025-02-18 16:00:56,761 - detector_fadiga - INFO - Bocejo detectado - MAR: 3.81, Duração: 0.93s
2025-02-18 16:00:56,762 - detector_fadiga - WARNING - ALERTA: Fadiga detectada - Nível de fadiga: 50.4
