2025-02-18 16:22:26,165 - detector_fadiga - INFO - Sistema de logging inicializado
2025-02-18 16:22:26,326 - detector_fadiga - ERROR - Erro ao inicializar alertas sonoros: No file 'sounds/alert.mp3' found in working directory 'C:\Users\Lucas Neves\Documents\DOCUMENTOSDIVERSOS\DocumentosFaculdade\TCC\Driver-Drowsiness'.
2025-02-18 16:22:26,326 - detector_fadiga - INFO - MediaPipe inicializado
2025-02-18 16:22:26,327 - detector_fadiga - INFO - Novo modelo de detecção de anomalias criado
2025-02-18 16:22:26,328 - detector_fadiga - INFO - Threads secundárias iniciadas
2025-02-18 16:22:28,705 - detector_fadiga - INFO - Iniciando detector de fadiga avançado...
2025-02-18 16:22:29,379 - detector_fadiga - ERROR - Erro na avaliação de fadiga: SVD did not converge in Linear Least Squares
2025-02-18 16:22:29,603 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,635 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,666 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,700 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,732 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,760 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,796 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,827 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,874 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,906 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,937 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:29,969 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:30,001 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
